ngram_decoded,count,p_ngram,pmi,entropy_reduction,internal_entropy,frequency_norm,pmi_norm,entropy_reduction_norm,internal_entropy_norm,composite_score
262 263 51 13,339386,0.0028539116461292176,8.904828782753988,2.1228719193928574,3.004450743988205,0.6184861857712037,0.18781381863596502,0.414031271047996,0.7557866667185541,0.45985394597637386
39 33 39 21 39 263 51,9201,0.00007737160948311048,14.556828397773941,4.6020854868103624,0.5252371765706999,0.24967847973528853,0.25301513457476255,0.8975611228210967,0.13212639804841225,0.45963875627215844
286 12 39 13 39,22399,0.00018835416593980997,9.012074214540029,4.37998752730527,0.747335136075792,0.3406279184934355,0.18905099906009173,0.8542445667768871,0.18799640251935423,0.4596047881381954
51 33 39 12 277 21,38399,0.00032289886235647855,16.904449551623536,3.162031978541192,1.9652906848398706,0.3957283937990332,0.2800972292284812,0.6167023583524744,0.49438004560409643,0.45895923802085914
39 63 39 326 304 262 63 39,2723,0.000022897825521411786,29.926923335444787,4.146441421431144,0.9808812419499187,0.12521234881909096,0.430324137458842,0.8086952379737488,0.2467462532988675,0.45893939285512536
39 33 262 263 51 13,16444,0.00013827831174223113,13.778614673562439,4.159830458062812,0.9674922053182504,0.3090349020688672,0.24403768192855543,0.81130654947308,0.2433781650096288,0.458732163066378
282 21 261 12 39 263 51 13,6786,0.00005706376936771956,21.809795334047205,4.139609540357756,0.9877131230233065,0.21855622066210018,0.33668516658412173,0.80736279187626,0.2484648518261375,0.4586570517421671
313 263 51 13 71 21 71,6232,0.000052405159254292415,20.146245977720973,4.3662784441172136,0.7610442192638486,0.20985034846843342,0.3174945058357793,0.8515708354578175,0.19144500033950518,0.45860275603721506
307 263 51 272 39 266 44,4431,0.000037260471863891153,25.522398969627087,4.143893484511242,0.9834291788698207,0.174984478988322,0.37951366253017416,0.8081983047617824,0.2473872013175878,0.4586020222438861
262 263 51 13 277 21,22278,0.00018733667167315893,16.722642166313744,3.6139205790459425,1.51340208433512,0.3400742027954121,0.27799990410869724,0.7048358015102659,0.38070489889483866,0.4583167920888462
262 21,396546,0.0033345725740777663,1.2630442852441557,2.6425618479294615,2.484760815451601,0.6343978112718199,0.0996583976705684,0.5153882486862845,0.6250557104524841,0.4576582958436693
271 263 51 13 50,18923,0.00015912433064328873,12.173813594020759,4.150080282581378,0.9772423807996842,0.3233889858224381,0.2255247397252232,0.8094049380236837,0.24583087708746168,0.4573947912583239
